timestamp,event,speed
2025-03-12 15:49:28,blink,0
2025-03-12 15:49:29,down,20
2025-03-12 15:49:33,blink,0
2025-03-12 15:49:34,right,17
2025-03-12 15:49:37,blink,0
2025-03-12 15:49:38,up,15
2025-03-12 15:49:41,right,15
2025-03-12 15:49:44,blink,0
2025-03-12 15:49:45,left,19
2025-03-12 15:49:47,down,16
2025-03-12 15:49:50,up,17
2025-03-12 15:49:52,right,15
2025-03-12 15:49:55,up,17
2025-03-12 15:49:58,blink,0
2025-03-12 15:49:59,left,15
2025-03-12 15:50:02,down,17
2025-03-12 15:50:04,right,19
2025-03-12 15:50:07,left,20
2025-03-12 15:50:09,left,18
2025-03-12 15:50:11,right,15
2025-03-12 15:50:14,down,17
2025-03-12 15:50:17,blink,0
2025-03-12 15:50:18,up,17
2025-03-12 15:50:20,left,16
2025-03-12 15:50:24,blink,0
2025-03-12 15:50:25,right,18
2025-03-12 15:50:27,up,18
2025-03-12 15:50:30,blink,0
2025-03-12 15:50:31,left,18
2025-03-12 15:50:34,left,18
2025-03-12 15:50:36,right,15
2025-03-12 15:50:39,right,16
2025-03-12 15:50:41,left,19
2025-03-12 15:50:43,left,17
2025-03-12 15:50:46,down,16
2025-03-12 15:50:49,blink,0
2025-03-12 15:50:50,down,19
2025-03-12 15:50:53,right,17
2025-03-12 15:50:55,up,17
2025-03-12 15:50:57,down,18
2025-03-12 15:51:01,blink,0
2025-03-12 15:51:02,up,18
2025-03-12 15:51:04,left,15
2025-03-12 15:51:07,down,16
2025-03-12 15:51:09,down,20
2025-03-12 15:51:11,up,19
2025-03-12 15:51:13,down,19
2025-03-12 15:51:16,up,17
2025-03-12 15:51:18,up,19
2025-03-12 15:51:20,right,16
